image,truth,identity
000010.png,False,7173
000028.png,False,1567
000216.png,False,5792
000361.png,False,4367
000493.png,False,871
000499.png,False,8455
000550.png,False,7831
000583.png,False,1308
000600.png,False,9433
000898.png,False,5013
000911.png,False,4055
001148.png,False,229
001358.png,False,4664
001590.png,False,6906
001668.png,False,1051
002326.png,False,1673
002525.png,False,10053
002551.png,False,229
002563.png,False,5787
002760.png,False,15
003038.png,False,1308
003086.png,False,9886
003158.png,False,3004
003403.png,False,8051
003448.png,False,172
003491.png,False,2339
003513.png,False,229
003748.png,False,1051
004045.png,False,4055
004124.png,False,898
004349.png,False,15
004448.png,False,6258
004465.png,False,6074
004513.png,False,1673
004541.png,False,2935
004666.png,False,6074
005091.png,False,7915
005203.png,False,871
005299.png,False,298
005600.png,False,3670
005766.png,False,7915
005927.png,False,3984
005987.png,False,6074
006131.png,False,7450
006139.png,False,6997
006272.png,False,1673
006910.png,False,1337
007338.png,False,7804
007398.png,False,6258
007523.png,False,6074
007604.png,False,8455
007612.png,False,6069
007765.png,False,6258
008389.png,False,3984
008578.png,False,3984
008585.png,False,4463
008624.png,False,3742
008951.png,False,8650
008971.png,False,8650
009060.png,False,1295
009084.png,False,97
009176.png,False,6074
009289.png,False,6997
009426.png,False,2159
009681.png,False,97
010021.png,False,5841
010061.png,False,2729
010274.png,False,4055
010406.png,False,871
010435.png,False,4568
010516.png,False,1673
010542.png,False,9433
010715.png,False,298
010870.png,False,4544
010884.png,False,898
010888.png,False,736
011017.png,False,97
011178.png,False,2729
011256.png,False,2339
011312.png,False,1295
011343.png,False,3742
011408.png,False,1337
011701.png,False,6074
011999.png,False,3669
012183.png,False,229
012364.png,False,1673
012383.png,False,229
012408.png,False,3984
012589.png,False,8051
012662.png,False,871
012724.png,False,6258
012794.png,False,1295
012876.png,False,6258
012883.png,False,3669
012923.png,False,4055
013109.png,False,1004
013138.png,False,5013
013297.png,False,5787
013539.png,False,1433
013855.png,False,1673
013954.png,False,4463
013970.png,False,4568
013976.png,False,7915
013983.png,False,3742
014179.png,False,5736
014221.png,False,5846
014316.png,False,3670
014430.png,False,8455
014583.png,False,898
014631.png,False,4055
014818.png,False,3669
014959.png,False,5736
015123.png,False,1433
015126.png,False,4055
015133.png,False,5787
015346.png,False,4055
015362.png,False,910
015457.png,False,1004
015877.png,False,3716
016045.png,False,5013
016319.png,False,5236
016617.png,False,736
016709.png,False,1295
016795.png,False,3736
017052.png,False,1051
017100.png,False,9433
017369.png,False,97
017807.png,False,8802
017861.png,False,1673
018220.png,False,6074
018242.png,False,4664
018538.png,False,4055
018787.png,False,229
019192.png,False,3716
019237.png,False,4638
019455.png,False,8802
019469.png,False,910
019885.png,False,5013
020339.png,False,3669
020342.png,False,1673
020364.png,False,1433
020684.png,False,4664
020747.png,False,1673
020943.png,False,1004
021154.png,False,4055
021448.png,False,3716
021672.png,False,97
021761.png,False,2939
021869.png,False,6258
021948.png,False,898
021978.png,False,3669
022152.png,False,6074
022156.png,False,298
